text,categorie
Nu mă pot conecta la rețeaua eduroam din sala A11,Retea
Calculatorul de la catedră nu pornește deloc,IT
S-a ars un bec în amfiteatrul A01 și e întuneric,Administrativ
Wi-Fi-ul pică din 5 în 5 minute în biblioteca mare,Retea
Proiectorul din sala 029 are culorile inversate,IT
A picat o bucată de tencuială de pe tavan în hol,Administrativ
Nu merge internetul prin cablu la calculatorul 4,Retea
Monitorul de la laboratorul de info are ecranul spart,IT
Ușa de la sala 105 nu se mai închide bine,Administrativ
Viteza la internet este extrem de mică pe holul principal,Retea
Imprimanta din secretariat scoate foi complet albe,IT
Scaunul profesorului de la catedră are un picior rupt,Administrativ
Pagina de login pentru Wi-Fi-ul UVT nu se încarcă,Retea
Mouse-ul și tastatura de la PC-ul 2 nu reacționează,IT
Aerul condiționat din amfiteatrul A12 curge pe perete,Administrativ
Semnalul Wi-Fi este inexistent în laboratoarele de la subsol,Retea
Cablul HDMI de la proiector este secționat sau lipsă,IT
Nu este săpun și nici hârtie igienică la baia de la etajul 1,Administrativ
Rețeaua wireless Campus-Fix nu îmi acceptă parola,Retea
Sistemul audio din sala A02 bârâie foarte tare,IT
Fereastra de la sala 204 este blocată și nu se deschide,Administrativ
Toate calculatoarele din sala 120 au pierdut conexiunea,Retea
S-a blocat un CD în unitatea optică a calculatorului,IT
Robinetul de la chiuveta din baia băieților e defect,Administrativ
Aparatul de Wi-Fi de pe tavan are ledul roșu aprins,Retea
Windows-ul de pe PC-ul din sala 015 dă eroare la pornire,IT
Nu merge căldura în corpul D și este foarte frig,Administrativ
Routerul din laboratorul de fizică pare să fie stins,Retea
Nu se aude nimic în boxele din amfiteatrul principal,IT
Priza din spatele ultimei bănci din sala A11 este smulsă,Administrativ
Apar erori de DNS când încerc să navighez de pe eduroam,Retea
Lipsește cablul de alimentare de la monitorul principal,IT
Coșul de gunoi din sala 302 este plin și dă pe afară,Administrativ
Internetul se deconectează când sunt mulți studenți în sală,Retea
Imaginea proiectată pe perete este foarte încețoșată,IT
Jaluzelele de la geam sunt rupte și bate soarele în tablă,Administrativ
Switch-ul de rețea din biroul profesoral scoate un zgomot ciudat,Retea
Nu funcționează camerele web de la calculatoarele de test,IT
S-a defectat broasca de la ușa laboratorului de chimie,Administrativ
Placa de rețea de la PC-ul 10 pare dezactivată din BIOS,Retea
S-a ars sursa de alimentare la serverul local,IT
Un neon pâlpâie enervant deasupra tablei din sala 102,Administrativ
Nu se alocă adresă IP prin DHCP pe cablul din sala 202,Retea
Laptopul de prezentare nu recunoaște stick-urile USB,IT
Podeaua este extrem de murdară în amfiteatrul A01,Administrativ
Cablul de internet din perete are mufa RJ45 ruptă,Retea
Tastatura de la laborator are taste lipsă (Space și Enter),IT
Caloriferul din sala 305 picură pe parchet,Administrativ
Aparatul Wi-Fi din zona InfoCentru pare blocat,Retea
Microfonul wireless al profesorului nu mai are baterie,IT
Nu curge apă caldă la dușurile din sala de sport,Administrativ
Aparatul de aer condiționat din sala de fitness nu pornește,Administrativ
Tabela electronică de scor din sala de sport nu se mai aprinde,IT
Nu funcționează routerul Wi-Fi de pe holul căminului Camere,Retea
S-a rupt plasa de la coșul de baschet în sala de jocuri,Administrativ
Frigiderul comun de la etajul 2 din cămin scoate un zgomot ciudat,Administrativ
Priza de net din perete din camera 314 este smulsă cu totul,Retea
Calculatorul de la recepția sălii de sport s-a blocat pe ecranul albastru,IT
Ușa de la camera 102 din cămin nu se mai încuie de la cartelă,Administrativ
Parchetul din sala de sport s-a umflat într-o zonă și e periculos,Administrativ
Sistemul audio din sala de aerobic nu recunoaște conexiunea Bluetooth,IT
Viteza la internet prin cablu în căminul C12 este extrem de mică,Retea
Una dintre benzile de alergare din sala de fitness dă o eroare pe ecran,IT
S-a înfundat scurgerea la mașina de spălat de la spălătoria căminului,Administrativ
Turnichetul de la intrarea în sala de sport nu citește legitimațiile,IT
Semnalul eduroam dispare complet în camerele de la capătul holului,Retea
Un geam de la sala de sport este crăpat și intră curent,Administrativ
Plita electrică de la bucătăria căminului nu se mai încălzește,Administrativ
Monitorul de la sistemul de supraveghere din cămin s-a stins,IT
Apar deconectări constante de la rețea când sunt mulți studenți în cămin,Retea
Saltelele de gimnastică sunt rupte și trebuie înlocuite,Administrativ
S-a ars un neon pe holul căminului de la etajul 3,Administrativ
Imprimanta din sala de lectură a căminului dă eroare de blocaj hârtie,IT
Nu mă pot loga pe portalul de internet al căminului cu contul de student,Retea
Robinetul de la dușul arbitrilor din sala de sport picură continuu,Administrativ
Liftul din cămin s-a blocat între etaje și scoate un semnal de alarmă,Administrativ
Sistemul de ventilație din vestiarul sălii de sport este extrem de zgomotos,Administrativ
Cablul de rețea din sala de calculatoare a căminului are mufa ruptă,Retea
Televizorul din oficiul căminului nu mai prinde niciun canal,IT
Ușa de la intrarea principală în sala de sport rămâne blocată pe deschis,Administrativ
S-a spart o țeavă sub chiuvetă în camera 405 și curge apă în cameră,Administrativ
Senzorul de mișcare pentru lumină de la baia comună din cămin e defect,Administrativ
Sistemul PC care controlează accesul în cămin nu mai pornește,IT
Telefonul interior de la paza căminului nu are ton și bârâie,Retea
Bancheta din vestiarul sălii de sport s-a desprins din perete,Administrativ
Uscătorul de mâini de la baia sălii de sport scoate doar aer rece,Administrativ
S-a ars ecranul de afișaj de la espressorul de cafea din holul căminului,IT
Toate calculatoarele din sala de lectură a căminului au pierdut IP-ul,Retea
Interfonul de la poarta căminului nu mai sună în nicio cameră,Administrativ
A căzut un dulap de pe perete în bucătăria căminului studențesc,Administrativ
Laptopul de la catedra profesorului de sport nu se conectează la proiector,IT
Ambalajele s-au blocat în tonomatul de gustări din sala de sport,Administrativ
Rețeaua Wi-Fi din cămin nu îmi alocă adresă IP pe telefon,Retea
Aparatul de filtrare a apei din cămin are filtrul expirat și ledul roșu,Administrativ
Încălzirea în pardoseală din sala de sport nu funcționează și e foarte frig,Administrativ
S-a defectat sistemul electronic de cronometrare pentru meciuri,IT
Cablul HDMI de la televizorul din sala de ședințe a căminului lipsește,IT
Izolația de la geamul camerei 208 s-a desprins și plouă înăuntru,Administrativ
Routerul Wi-Fi din sala de sport s-a resetat singur și cere altă parolă,Retea
Bateria de la senzorul de incendiu din camera 115 piuie la fiecare minut,Administrativ
